adjusted_date,headline,summary
2022-02-03 05:00:00+00:00,"On CNBC  Pete Najarian Highlights Bank Of America, Academy Sports And Outdoors For Unusual Options Activity Peering Into Bank of America Corporation's Recent Short Interest","nan Bank of America Corporation& 39 s  NYSE BAC  short percent of float has fallen 6.25  since last its last report. The company recently reported that it has 73.30 million shares sold short, which is 0.9  of all regular shares that are available for trading."
2022-02-06 05:00:00+00:00,Looking At Bank of America's Recent Whale Trades,Someone with a lot of money to spend has taken a bearish stance on Bank of America  NYSE BAC .  And retail traders should know.  We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga.
2022-02-07 05:00:00+00:00,"PreMarket Prep Stock Of The Day  Bank Of America Trader Pete Najarian Highlights He Bought Wells Fargo Calls, Says Has Owned Bank Of America Calls BZ Chart Of The Day  Time To Sell Bank Of America?","While the S&amp P 500 index futures were retreating off Tuesday s open, one sector was going in the opposite direction  banking.    One issue that has revisited its multiyear highs is Bank of America Corp  NYSE  BAC ,  the PreMarket Prep Stock of the Day. nan Shares of Bank of America Corporation  NYSE  BAC  are overbought and at resistance, which means it may be time to sell."
2022-02-10 05:00:00+00:00,"Top News In Fintech And Beyond For February 11, 2022","    Good day! Here are the top things to focus on, today."
2022-02-16 05:00:00+00:00,Bank of America Whale Trades Spotted What Are Whales Doing With Bank of America,Someone with a lot of money to spend has taken a bearish stance on Bank of America  NYSE BAC .  And retail traders should know.  We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga. Someone with a lot of money to spend has taken a bearish stance on Bank of America  NYSE BAC .  And retail traders should know.  We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga.
2022-02-17 05:00:00+00:00,"Watching Bank Stocks  JP Morgan, Bank Of America See New Pre Market Lows 'Venereal Disease ' Charlie Munger Says Bitcoin And Other Cryptos Are 'Beneath Contempt'",nan Berkshire Hathaway Inc.  NYSE  BRK A   NYSE  BRK B  Vice Chairman Charlie Munger has again shown his dislike for Bitcoin  CRYPTO 
2022-02-18 05:00:00+00:00,"A Better 5 Year Return Than Ford, Amazon, Meta Platforms, Bank Of America And Wells Fargo? This Chipmaker Has It","Taiwan Semiconductor Mfg. Co. Ltd.& 39 s  NYSE  TSM  high performance computing and visualization products help gamers get the most from their favorite titles, and over the past five years, the most out of investors& 39  portfolios."
2022-02-21 05:00:00+00:00,"If You Invested  100 In This Stock 10 Years Ago, Here's How Much You Would Have Today",Bank of America  NYSE BAC  has outperformed the market over the past 10 years by 6.69  on an annualized basis. 
2022-02-22 05:00:00+00:00,Chart Wars  Will Bank Of America Or JPMorgan Soar Higher On A Break Of This Key Pattern?,"Bank of America Corporation  NYSE  BAC  and JP Morgan Chase &amp  Co  NYSE  JPM  opened higher on Wednesday in tandem with the S&amp P 500, but selling pressure entered just after 9 35 a.m., when Newsweek "
2022-02-23 05:00:00+00:00,"Looking At Bank of America's Recent Whale Trades How Is The Market Feeling About Bank of America Corporation? Why Wells Fargo, Bank Of America And JPMorgan Chase Shares Are Falling Today","A whale with a lot of money to spend has taken a noticeably bearish stance on Bank of America.  Looking at options history for Bank of America  NYSE BAC  we detected 109 strange trades. Bank of America Corporation& 39 s  NYSE BAC  short percent of float has risen 3.33  since its last report. The company recently reported that it has 75.65 million shares sold short, which is 0.93  of all regular shares that are available for trading. Shares of several banks and financial services companies, including Wells Fargo &amp  Co  NYSE  WFC , Bank of America Corp  NYSE  BAC  and JPMorgan Chase &amp  Co  NYSE  "
2022-02-24 05:00:00+00:00,"'International banks halt trading in Russian stocks'  Recent Article From Int'l. Finance Review Mentions 'JP Morgan, Goldman Sachs, Citigroup, Morgan Stanley, Bank of America, HSBC and UBS have all stopped trading locally listed Russian stocks'",nan
2022-02-26 05:00:00+00:00,Top 10 Stock Holdings Of Berkshire Hathaway And Warren Buffett,Legendary investor Warren Buffett& 39 s ability to identify and buy the stock of up and coming publicly traded companies has been key to the success of Berkshire Hathaway  NYSE  BRK A  NYSE  
2022-02-27 05:00:00+00:00,"CNBC Halftime Report Final Trades  Booking, Deere, Bank Of America Paramount Global If You Invested  1000 In This Stock 10 Years Ago, Here's How Much You Would Have Today This Is What Whales Are Betting On Bank of America  100 Invested In This Stock 10 Years Ago Would Be Worth This Much",nan Bank of America  NYSE BAC  has outperformed the market over the past 10 years by 6.56  on an annualized basis.  A whale with a lot of money to spend has taken a noticeably bullish stance on Bank of America.  Looking at options history for Bank of America  NYSE BAC  we detected 21 strange trades. Bank of America  NYSE BAC  has outperformed the market over the past 10 years by 6.54  on an annualized basis. 
2022-02-28 05:00:00+00:00,"10 Financials Stocks Whale Activity In Today's Session U.S. Appeals Court Faced With Cases Cloud By Judicial Financial Conflicts  Cases Involve StarKist, Cisco, Bank Of America, Other Major Banks",This whale alert can help traders discover the next big trading opportunities.  Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner. nan
2022-03-01 05:00:00+00:00,"Why Bank Of America Says There Won't Be A 'Crypto Winter' CNBC's Final Trades  Booking Holdings, NextEra Energy, Deere, Paramount And This Banking Major","Bank of America Corp  NYSE  BAC  doesn t believe there will be a  crypto winter  or a prolonged period of declining prices in the digital asset industry. On CNBC s  Halftime Report Final Trades,  Brenda Vingiello of Sand Hill Global Advisors said Booking Holdings Inc  NASDAQ  BKNG  has been through a correction and now represent"
2022-03-03 05:00:00+00:00,"Why This Investor Bought Bank of America Stock Top News In Fintech And Beyond For March 4, 2022","The financials have come under significant pressure amid impending rate hikes and increasing geopolitical tensions. With Bank Of America Corp  NYSE  BAC  shares down more than 15  over the last month, Odyssey Capital& 39 s Jason Snipe decided to buy in.     "
2022-03-06 05:00:00+00:00,Bank Of America Stock Has Been Tanking Lately  What's Going On And What's Next? Why Bank Of America Shares Are Sliding Today,Bank Of America Corp.  NYSE  BAC  shares are trading lower alongside other stocks in the financial services sector. Investors continue to weigh the economic impact of the conflict and Russian sanctions. Bank Of America Corp  NYSE  BAC  is trading lower Monday amid continued escalation of the Russia Ukraine conflict as investors continue to weigh the economic impacts of Russian sanctions.
2022-03-07 05:00:00+00:00,"Why Bank Stocks Are Getting Crushed Since Ukraine Conflict Began Benzinga's Top Ratings Upgrades, Downgrades For March 8, 2022","The bond market is pricing in a 68.1  chance the Federal Reserve will raise interest rates at least 1.5  by the end of 2022. Rising interest rates are typically good news for bank profits, but bank stocks have taken a huge hit so far in 2022. Upgrades  "
2022-03-08 05:00:00+00:00,Baird Upgrades Bank of America to Neutral,nan
2022-03-09 05:00:00+00:00,10 Financials Stocks With Whale Alerts In Today's Session,This whale alert can help traders discover the next big trading opportunities.  Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner.
2022-03-10 05:00:00+00:00,What Was Your First? Find Out What Warren Buffett's And Ray Dalio's First Stocks Were   Plus The Zinger Nation Tells All How To Get Rich When The Stock Market Drops This Is What Whales Are Betting On Bank of America,"You have to start somewhere, right? And the stock and crypto markets are no different.    While some jump in blindly, others diligently do their research   and of course, there are those who land somewhere between those boundaries. Volatility in global financial markets triggered by the conflict in Ukraine has investors concerned about a potential U.S. recession in 2022. The SPDR S&amp P 500 ETF Trust  NYSE  SPY  is down more than 10  year to date, while WTI crude oil prices have risen to 13 year highs. A whale with a lot of money to spend has taken a noticeably bearish stance on Bank of America.  Looking at options history for Bank of America  NYSE BAC  we detected 68 strange trades."
2022-03-13 05:00:00+00:00,Is Mobileye IPO A Good Investment?,"Since the advent of digitalization and connectivity based platforms, industry leaders looked to the world s transportation networks as the battleground for the next disruptive technology."
2022-03-14 04:00:00+00:00,Analyzing Bank of America Corporation's Short Interest,"Bank of America Corporation& 39 s  NYSE BAC  short percent of float has fallen 4.11  since its last report. The company recently reported that it has 56.50 million shares sold short, which is 0.7  of all regular shares that are available for trading."
2022-03-15 04:00:00+00:00,Shares of banking and financial services companies are trading higher ahead of today's Fed decision.  The Fed is expected to hike interest rates.,nan
2022-03-16 04:00:00+00:00,Why Pete Najarian Prefers Bank Of America Over JPMorgan  'This Is The Stock To Own' On CNBC  Trader Pete Najarian Owns Calls In Bank Of America Strategists Cut Targets For European Equity Markets Amid Increasing Risks  Bloomberg,"Bank Of America Corp  NYSE  BAC  was featured as the call of the day Thursday on CNBC& 39 s & 34 Fast Money  Halftime Report.& 34  nan Strategists are slashing their targets for European equity markets, with the region& 39 s benchmark now seen e"
2022-03-20 04:00:00+00:00,Bank of America Whale Trades Spotted Here's How Much You Would Have Made Owning Bank of America Stock In The Last 10 Years,Someone with a lot of money to spend has taken a bullish stance on Bank of America  NYSE BAC .  And retail traders should know.  We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga. Bank of America  NYSE BAC  has outperformed the market over the past 10 years by 3.97  on an annualized basis. 
2022-03-21 04:00:00+00:00,"Pete Najarian Prefers These Bank Stocks, Buys Calls All The Stocks That Moved Tuesday From CNBC's 'Fast Money  Halftime Report' On CNBC  Pete Najarian Buys Bank Of America Calls Why Wells Fargo And Bank Of America Shares Are Rising Today Morning Brief  Top Stories Dominating Financial Media on Monday, March 21 US Banks Suffer As IPO Pipeline Dries Up Due to Volatile Markets  FT","The Financial Select Sector SPDR Fund  ARCA  XLF  was featured as the call of the day Tuesday on CNBC& 39 s & 34 Fast Money Halftime Report.& 34  CNBC s & 34 Fast Money  Halftime Report& 34  delivers market moving news to investors.    The commentary delivered by hosts of the show often moves the stocks mentioned. The information is collected and refined using Benzinga Pro s News Tool. Benzinga Pro users can access this information by using the News tool in any workstation. nan Shares of banks and financial services companies, including Wells Fargo &amp  Company  NYSE  WFC  and Bank of America Corporation  NYSE  BAC , are trading higher amid a rise in yields. CNBC   "
2022-03-23 04:00:00+00:00,"Alaska Air Unveils Long Ferm Forecast, Fleet Transition Plan Why Bank Of America Stock Looks Set For All Time Highs","   Bank Of America Corporation  NYSE  BAC  opened slightly higher on Thursday, but immediately ran into a group of sellers and profit takers who dropped the stock down about 1  off the open."
2022-03-24 04:00:00+00:00,This Is What Whales Are Betting On Bank of America Alaska Air Group And Bank Of America Renew Long term Partnership Agreement,Someone with a lot of money to spend has taken a bearish stance on Bank of America  NYSE BAC .  And retail traders should know.  We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga. nan
2022-03-26 04:00:00+00:00,"This Biopharma Company Has A Better 6 Month Return Than AMD, Nvidia, Ford, Wells Fargo And Bank Of America","AbbVie Inc  NYSE  ABBV  is one of the world s largest pharmaceutical companies, and over the past year, has delivered eye popping returns for investors."
2022-03-27 04:00:00+00:00,"Bank Of America Stock Keeps Going Down Despite These Catalysts What 4 Analyst Ratings Have To Say About Bank of America Benzinga's Top Ratings Upgrades, Downgrades For March 28, 2022","Besides the upward or downward momentum in the broad market, certain catalysts may influence the price action in an issue. On some occasions, there can be two distinct positive catalysts on the company with no corresponding rise in an issue s share price. Within the last quarter, Bank of America  NYSE BAC  has observed the following analyst ratings   Upgrades  "
2022-03-28 04:00:00+00:00,"Bank of America Whale Trades Spotted 10 Financials Stocks Whale Activity In Today's Session When Mortgage Rates Dipped, Fees And Charges Soared Why Jim Cramer Likes Bank Of America Stock Morgan Stanley Upgrades Bank of America to Equal Weight, Lowers Price Target to  49","A whale with a lot of money to spend has taken a noticeably bearish stance on Bank of America.  Looking at options history for Bank of America  NYSE BAC  we detected 42 strange trades. This whale alert can help traders discover the next big trading opportunities.  Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner.    On CNBC s & 34 Mad Money Lightning Round,& 34  Jim Cramer said  Bank of America Corp  NYSE  BAC  in one of the companies that is & 34 not expensive with very good management that I want to own.& 34  nan"
2022-03-29 04:00:00+00:00,10 Financials Stocks With Whale Alerts In Today's Session Hearing Investors Business Daily Names Bank Of America As New Short,This whale alert can help traders discover the next big trading opportunities.  Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner. nan
2022-03-30 04:00:00+00:00,Looking Into Bank of America Corporation's Recent Short Interest,"Bank of America Corporation& 39 s  NYSE BAC  short percent of float has risen 4.29  since its last report. The company recently reported that it has 58.58 million shares sold short, which is 0.73  of all regular shares that are available for trading."
2022-04-03 04:00:00+00:00,"This Is What Whales Are Betting On Bank of America Watching Bank Of America Shares  Hearing Investors Business Daily Covers Short Position This Marijuana Stock Has Beaten Apple, Twilio, Netflix And Bank of America",A whale with a lot of money to spend has taken a noticeably bullish stance on Bank of America.  Looking at options history for Bank of America  NYSE BAC  we detected 40 strange trades. nan Those investors who chose the specialized real estate investment trust Power REIT  AMEX PW  to add to their portfolios some five years ago are now enjoying their high returns.
2022-04-04 04:00:00+00:00,10 Financials Stocks Whale Activity In Today's Session,This whale alert can help traders discover the next big trading opportunities.  Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner.
2022-04-05 04:00:00+00:00,"Banks Considering Zelle As POS Alternative To Mastercard And Visa  Report What Were Your Best And Worst Stock Buys? What Does The Zinger Nation Think? Bank Of America Plans To Bring All U.S. Workers Back To Office By June 1 Piper Sandler Maintains Overweight on Bank of America, Lowers Price Target to  51","Several major banks are debating whether to position the digital payment platform Zelle as a retail point of sale alternative to Mastercard  NYSE  MA  and Visa  NYSE  V . Admitting to success is a lot easier than failure and when it comes to stocks, not only is there money involved, but also questioning your   or your advisor& 39 s   judgment. And then there is the advice you hear in a coffee shop.  More on that later.  nan nan"
2022-04-07 04:00:00+00:00,"Bank of America Whale Trades Spotted Jim Cramer Shares His Thoughts On Bank of America, Douglas Emmett And More","A whale with a lot of money to spend has taken a noticeably bullish stance on Bank of America.  Looking at options history for Bank of America  NYSE BAC  we detected 22 strange trades. On CNBC s & 34 Mad Money Lightning Round,& 34  Jim Cramer said  BlueLinx Holdings Inc s  NYSE  BXC  stock anticipated that interest rates would be rising. Therefore & 34 I would actually be a buyer, not a seller of that stock.& 34 "
2022-04-10 04:00:00+00:00,This Investor Plans To Hold Bank Of America Stock Through Earnings Despite Anticipating A Decline  Here's Why,"As bank earnings season approaches, volatility is expected."
2022-04-11 04:00:00+00:00,Economists Expect Fed To Hike Rates Aggressively In Coming Months  Reuters Experts See Possible Exodus Of Bank Deposits Following Pandemic Recovery  WSJ US Banks Warn On Plummeting Investment Banking Revenues As Dealmaking Dries Up  FT,"According to economists polled by Reuters, the Federal Reserve is anticipated to raise interest rates by a half point in May and June to tackle rising infl      	The largest US banks are warning of lower investment banking revenue next week on a slowdown in dealmaking following a blockbuster 2021 supported by markets and widespread stimulus measures.  "
2022-04-12 04:00:00+00:00,Bank Of America Stock Forms This Pattern And Here's How To Trade It Looking At Bank of America's Recent Whale Trades JPMorgan Mulls Splitting CEO Role With Jamie Dimon Staying As Non Executive Chair  FT,"Bank of America Corporation  NYSE  BAC  gapped down 1.7  on Wednesday morning, but bulls came in and bought the dip, which caused the stock to rise up and completely fill the gap. A whale with a lot of money to spend has taken a noticeably bullish stance on Bank of America.  Looking at options history for Bank of America  NYSE BAC  we detected 23 strange trades. Last week, in its securities filing, JPMorgan Chase &amp  Co  NYSE  "
2022-04-13 04:00:00+00:00,"If You're Not Buying Gold, Consider These Five Gold Stocks Death Cross Looms Over Bank of America Investors","Investors already know that gold is a very interesting market when the tide gets tough. As they turn to derivatives such as futures and CFDs, buying shares of companies in the sector is an option worth weighing.    In times of recession or economic crisis, investors tend to take money out of the stock market and take refuge in safe haven assets such as the precious metal. If history is any guide, there may be trouble ahead for shares of Bank of America  NYSE BAC .  A so called & 34 death cross& 34  has formed on its chart and, not surprisingly, this could be bearish for the stock."
2022-04-14 04:00:00+00:00, 1000 Invested In Bank of America 10 Years Ago Would Be Worth This Much,"Bank of America  NYSE BAC  has outperformed the market over the past 10 years by 3.28  on an annualized basis producing an average annual return of 15.46 . Currently, Bank of America has a market capitalization of  302.67 billion. "
2022-04-17 04:00:00+00:00,"Mid Afternoon Market Update  Crude Oil Rises Over 1   Nektar Therapeutics Shares Slide Bank Of America Investors Give Thumbs Up To Q1 Earnings  What The Chart Shows Traders Moved These 13 Stocks On Monday's CNBC's 'Fast Money  Halftime Report' Mid Day Market Update  U.S. Stocks Turn Lower  Bank of America Earnings Top Views On CNBC  Trader Joe Terranova Owns Bank Of America, Morgan Stanley On CNBC  Trader Steve Weiss Says He Owns Goldman, Bank Of America, Will Continue To Own Bank Of America Reports Strong Earnings Results  Why This Investor Says The Firm Is Well Positioned Moving Forward Mid Morning Market Update  Markets Open Higher  Dow Gains 100 Points Why Bank Of America Shares Are Rising","U.S. stocks traded higher in volatile session, with the Dow Jones gaining around 60 points toward the end of trading on Monday. Despite the prospect of rising interest rates, the financial sector has been under extreme selling pressure since early January. It& 39 s been a mixed bag for first quarter earnings for the big banks so far, with assorted beats and misses and inconsistent price action. CNBC s & 34 Fast Money  Halftime Report& 34  delivers market moving news to investors. U.S. stocks turned lower midway through trading, with the Nasdaq Composite falling more than 100 points on Monday. nan nan Bank Of America Corp  NYSE  BAC  on Monday reported strong first quarter financial results led by an increase in consumer lending activity.    U.S. stocks traded higher this morning, with the Dow Jones adding around 100 points on Monday. Bank of America Corp  NYSE  BAC  shares are trading higher by 2.32  at  38.44 after the company reported better than expected first quarter EPS and sales results."
2022-04-18 04:00:00+00:00,"5 Stocks To Watch For April 18, 2022 Looking Into Bank of America Corporation's Recent Short Interest Benzinga's Daily Brief On Trending Tickers For April 18, 2022  Casa Systems, Twitter, DiDi Global, And More Bank Of America CFO Says Q2 Expenses Expected To Be Modestly Down From Q1 Bank Of America CFO Says Expect Net Interest Income To Grow Each Quarter This Year  Says Russia Is Not An Area Of Material Direct Exposure For The Bank Bank of America  Q1 Earnings Insights Bank Of America Corp With ""Very Minor"" Direct Exposure To Russia Based Companies, Co's Teams Were Able To Navigate Through Sanctions Bank of America Q1 EPS  0.80 Beats  0.74 Estimate, Sales  23.20B Beat  23.11B Estimate A Peek Into The Markets  US Stock Futures Down  Bank of America Earnings In Focus How Bank Of America's Stock Looks Heading Into Its Q2 Earnings Print Earnings Scheduled For April 18, 2022","Some of the stocks that may grab investor focus today are  Bank of America Corporation& 39 s  NYSE BAC  short percent of float has risen 4.11  since its last report. The company recently reported that it has 60.71 million shares sold short, which is 0.76  of all regular shares that are available for trading. Benzinga s  Daily Brief On Trending Tickers  features top searched tickers from around the web and uses the Benzinga Pro platform to highlight recent news items possibly impacting those stocks. nan nan      Bank of America  NYSE BAC  reported its Q1 earnings results on Monday, April 18, 2022 at 06 45 AM.    Here& 39 s what investors need to know about the announcement. nan nan Pre open movers Bank of America Corporation  NYSE  BAC  closed the trading session on Friday down 3.22 , as the stock continued its decline after breaking bearishly from a bear flag pattern on April 12.      Companies Reporting Before The Bell      Sify Technologies  NASDAQ SIFY  is projected to report earnings for its fourth quarter."
2022-04-19 04:00:00+00:00,"Expert Ratings for Bank of America 10 Biggest Price Target Changes For Tuesday BMO Capital Maintains Market Perform on Bank of America, Lowers Price Target to  46",Analysts have provided the following ratings for Bank of America  NYSE BAC  within the last quarter     	BMO Capital cut  Bank of America Corporation   NYSE  BAC  price target from  48 to  46. Bank of America shares rose 0.3  to  38.95 in pre market trading.   nan
2022-04-21 04:00:00+00:00,Looking At Bank of America's Recent Whale Trades,A whale with a lot of money to spend has taken a noticeably bearish stance on Bank of America.  Looking at options history for Bank of America  NYSE BAC  we detected 34 strange trades.
2022-04-22 04:00:00+00:00,How Elon Musk Managed to Convince Banks For Financing Proposed Twitter Deal?,"Elon Musk  disclosed in a filing on Thursday that he has received commitments for  46.5 million in debt financing to buy Twitter, Inc.  NYSE  TWTR ."
2022-04-24 04:00:00+00:00,"5 Stocks Moved By Traders On Monday's CNBC's 'Fast Money  Halftime Report' CNBC Halftime Reports Final Trades  Bank Of America, Cleveland Cliffs, Marriott Stocks That Hit 52 Week Lows On Monday","CNBC s  Fast Money  Halftime Report  delivers market moving news to investors. nan           On Monday, 721 companies achieved new lows for the year."
2022-04-25 04:00:00+00:00,2022 FinTwit Conference Speaker Spotlight  Christian Fromhertz,Benzinga and Lupton Capital are hosting the premier event for traders in May and you don& 39 t want to miss it.    The 2022 FinTwit Conference will be held May 13 14 at the ARIA Resort &amp  Casino in Las Vegas.
2022-04-26 04:00:00+00:00,"CNBC's Final Trades  Bank of America, Cleveland Cliffs, Energy, Cash And More","On CNBC s  Halftime Report Final Trades,  Bryn Talkington of Requisite Capital Management chose Energy Select Sector SPDR Fund  NYSEARCA  XLE , saying it s at  72 and may hit  69 before rising to  75."
2022-04-27 04:00:00+00:00,"What Are Whales Doing With Bank of America 11 Largest Leveraged Buyouts Of All Time Morning Brief  Top Financial Stories Dominating on Wednesday, April 27 Citi, Bank of America, Wells Fargo Shareholders Backed Proposals To Stop Financing New Fossil Fuel Supplies Doesn't Get Enough Support",A whale with a lot of money to spend has taken a noticeably bullish stance on Bank of America.  Looking at options history for Bank of America  NYSE BAC  we detected 13 strange trades. A leveraged buyout is simply defined as the purchase of a controlling share in a company by its management using outside capital. Reuters    Kellogg Sues British Government Over New Sugar Rules   
2022-04-30 04:00:00+00:00,"Top News In Fintech And Beyond For May 2, 2022 This Celebrity Has Owned Berkshire Hathaway Shares For 25 Years And Claims He Is Related To Warren Buffett",      Top Things To Know In TradeFi  Many investors have turned to Berkshire Hathaway Inc  NYSE  BRK A  NYSE  BRK B  over the years as a long term investment option.  Among those who have been believers in Warren Buffett over the last 25 years is a c
2022-05-02 04:00:00+00:00,Looking At Bank of America's Recent Whale Trades 3 Reasons to Remain Bullish on U.S. Banks,"Someone with a lot of money to spend has taken a bearish stance on Bank of America  NYSE BAC .  And retail traders should know.  We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga. As of this past Friday, 17 of the 18 banks in the S&amp P 500 have reported results for the first quarter and not only have the quantitative results been supportive of strong fundamentals, but the tone from management teams has also been consistently positive about business trends."
2022-05-04 04:00:00+00:00,Peering Into Bank of America's Recent Short Interest,"Bank of America& 39 s  NYSE BAC  short percent of float has risen 6.58  since its last report. The company recently reported that it has 65.35 million shares sold short, which is 0.81  of all regular shares that are available for trading."
2022-05-06 04:00:00+00:00,Here's Why Turtle Beach Shares Are Trading Lower Premarket,  
